,citing author name,citing paper title,cited paper title,affiliation,latitude,longitude,county,city,state,country
119,Lei Fan,Quantum assisted scheduling algorithm for federated learning in distributed networks,Joint participant selection and learning scheduling for multi-model federated edge learning,University of Houston,29.7207902,-95.3440627,Harris County,Houston,Texas,United States
120,Lei Fan,Quantum assisted scheduling algorithm for federated learning in distributed networks,Participant selection for hierarchical federated learning in edge clouds,"Assistant Professor, University of Houston",,,,,,
121,Lei Fan,Quantum assisted scheduling algorithm for federated learning in distributed networks,Participant selection for hierarchical federated learning in edge clouds,University of Houston,29.7207902,-95.3440627,Harris County,Houston,Texas,United States
122,Lei Fan,Quantum-Assisted Resource Management for Data Access in Space-Air-Ground Integrated Networks,Hybrid quantum-classical computing via Dantzig-Wolfe decomposition for integer linear programming,"Assistant Professor, University of Houston",,,,,,
123,Lei Fan,Quantum-Assisted Resource Management for Data Access in Space-Air-Ground Integrated Networks,Hybrid quantum-classical computing via Dantzig-Wolfe decomposition for integer linear programming,University of Houston,29.7207902,-95.3440627,Harris County,Houston,Texas,United States
124,Lei Fan,Quantum-Assisted Resource Management for Data Access in Space-Air-Ground Integrated Networks,Optimal entanglement distribution problem in satellite-based quantum networks,"Assistant Professor, University of Houston",,,,,,
125,Lei Fan,Quantum-Assisted Resource Management for Data Access in Space-Air-Ground Integrated Networks,Optimal entanglement distribution problem in satellite-based quantum networks,University of Houston,29.7207902,-95.3440627,Harris County,Houston,Texas,United States
126,Maria Diamanti,Autonomous Node Selection for Improved Accuracy in Multi-Model Federated Learning,Joint participant selection and learning scheduling for multi-model federated edge learning,National Technical University of Athens,37.9878502,23.7318258,Regional Unit of Central Athens,Athens,Attica,Greece
127,Maria Diamanti,Autonomous Node Selection for Improved Accuracy in Multi-Model Federated Learning,Joint participant selection and learning scheduling for multi-model federated edge learning,Postdoctoral Researcher,,,,,,
128,Maria Diamanti,Autonomous Node Selection for Improved Accuracy in Multi-Model Federated Learning,Joint participant selection and learning scheduling for multi-model federated edge learning,"Postdoctoral Researcher, National Technical University of Athens",,,,,,
129,Md Sadman Siraj,Autonomous Node Selection for Improved Accuracy in Multi-Model Federated Learning,Joint participant selection and learning scheduling for multi-model federated edge learning,Graduate Research Associate,,,,,,
130,Md Sadman Siraj,Autonomous Node Selection for Improved Accuracy in Multi-Model Federated Learning,Joint participant selection and learning scheduling for multi-model federated edge learning,"Graduate Research Associate, Performance and Resource Optimization in Networks (PROTON) Lab",,,,,,
131,Md Sadman Siraj,Autonomous Node Selection for Improved Accuracy in Multi-Model Federated Learning,Joint participant selection and learning scheduling for multi-model federated edge learning,Performance,31.8666738,-102.3266274,Ector County,Odessa,Texas,United States
132,Minghui Liwang (李王明卉),HEART: Achieving Timely Multi-Model Training for Vehicle-Edge-Cloud-Integrated Hierarchical Federated Learning,Joint participant selection and learning scheduling for multi-model federated edge learning,"Associate Professor, Tongji University",,,,,,
133,Minghui Liwang (李王明卉),HEART: Achieving Timely Multi-Model Training for Vehicle-Edge-Cloud-Integrated Hierarchical Federated Learning,Joint participant selection and learning scheduling for multi-model federated edge learning,Tongji University,31.2847393,121.4969491,,Yangpu District,Shanghai,China
134,No_author_found,Joint Scheduling for Federated Learning in Battery-Powered IIoT with Multiple Services,Joint participant selection and learning scheduling for multi-model federated edge learning,No_author_found,,,,,,
135,No_author_found,Node selection for model quality optimization in hierarchical federated learning based on deep reinforcement learning,Participant selection for hierarchical federated learning in edge clouds,No_author_found,,,,,,
136,No_author_found,Privacy-Preserving Federated Learning with Intermediate-Level Model Sharing,"Group-based hierarchical federated learning: Convergence, group formation, and sampling",No_author_found,,,,,,
137,No_author_found,[CITATION][C] Quantum Secure in Flexible Optical satellite Network: State-of-the-Art and Challenges,Optimal entanglement distribution problem in satellite-based quantum networks,No_author_found,,,,,,
138,Peng Li,Robin: An Efficient Hierarchical Federated Learning Framework Via a Learning-Based Synchronization Scheme,Group formation and sampling in group-based hierarchical federated learning,Xi'an Jiaotong University,34.2172159,108.937846,,Yanta District,Shaanxi,China
139,Pingyi Fan,A Comprehensive Survey on Joint Resource Allocation Strategies in Federated Edge Learning,Participant selection for hierarchical federated learning in edge clouds,"Professor of Electronic Engineering, Tsinghua University",,,,,,
140,Pingyi Fan,A Comprehensive Survey on Joint Resource Allocation Strategies in Federated Edge Learning,Participant selection for hierarchical federated learning in edge clouds,Tsinghua University,40.0022905,116.320963,,Haidian District,Beijing,China
141,Qiang Fan,A Comprehensive Survey on Joint Resource Allocation Strategies in Federated Edge Learning,Participant selection for hierarchical federated learning in edge clouds,Qualcomm,32.8972258,-117.2186174,San Diego County,San Diego,California,United States
142,Qiong Wu,A Comprehensive Survey on Joint Resource Allocation Strategies in Federated Edge Learning,Participant selection for hierarchical federated learning in edge clouds,"Associate Professor, School of Internet of Things Engineering, Jiangnan University",,,,,,
143,Qiong Wu,A Comprehensive Survey on Joint Resource Allocation Strategies in Federated Edge Learning,Participant selection for hierarchical federated learning in edge clouds,Jiangnan University,31.4851218,120.2673352,,Binhu District,Jiangsu,China
144,Qiong Wu,A Comprehensive Survey on Joint Resource Allocation Strategies in Federated Edge Learning,Participant selection for hierarchical federated learning in edge clouds,School of Internet of Things Engineering,,,,,,
145,Ruiwen Ji,Solving Data Contamination in DDoS Detection: A Method Based on Hierarchical Federated Learning,"Group-based hierarchical federated learning: Convergence, group formation, and sampling",上海交通大学,31.2040209,121.4304776,,Xuhui District,Shanghai,China
146,Ruozhou Yu,QuESat: Satellite-Assisted Quantum Internet for Global-Scale Entanglement Distribution,Optimal entanglement distribution problem in satellite-based quantum networks,Assistant Professor @ NCSU,,,,,,
147,Ruozhou Yu,QuESat: Satellite-Assisted Quantum Internet for Global-Scale Entanglement Distribution,Optimal entanglement distribution problem in satellite-based quantum networks,NCSU,35.7397972,-78.6768825,Wake County,,North Carolina,United States
148,Seid Koudia,Space-Based Quantum Internet: Entanglement Distribution in Time-Varying LEO Constellations,Optimal entanglement distribution problem in satellite-based quantum networks,University of Luxembourg (SnT),49.6323746,6.168568,Canton Luxembourg,Luxembourg,,Luxembourg
149,Shanhao Zhan, A Review on Federated Learning Architectures for Privacy-Preserving AI: Lightweight and Secure Cloud–Edge–End Collaboration,Group formation and sampling in group-based hierarchical federated learning,Xiamen University,24.4399419,118.0930178,Xiamen,Xiamen City,Fujian,China
150,Symeon Chatzinotas,Space-Based Quantum Internet: Entanglement Distribution in Time-Varying LEO Constellations,Optimal entanglement distribution problem in satellite-based quantum networks,"Full Professor | IEEE Fellow | SIGCOM Head, SnT, University of Luxembourg",,,,,,
151,Symeon Chatzinotas,Space-Based Quantum Internet: Entanglement Distribution in Time-Varying LEO Constellations,Optimal entanglement distribution problem in satellite-based quantum networks,SnT,38.8355446,-9.3522371,Lisbon,,,Portugal
152,Symeon Chatzinotas,Space-Based Quantum Internet: Entanglement Distribution in Time-Varying LEO Constellations,Optimal entanglement distribution problem in satellite-based quantum networks,University of Luxembourg,49.5036259,5.9487155,Canton Esch-sur-Alzette,,,Luxembourg
153,Thanh Linh Nguyen,Right Reward Right Time for Federated Learning,Incentive mechanism design in semi-asynchronous blockchain-based federated learning,"PhD candidate @ SCSS, Trinity Collge Dublin",,,,,,
154,Thanh Linh Nguyen,Right Reward Right Time for Federated Learning,Incentive mechanism design in semi-asynchronous blockchain-based federated learning,SCSS,-53.3167096,-68.6584573,Provincia de Tierra del Fuego,,Magallanes and Chilean Antarctica Region,Chile
